link,title,date,datetime,author,author_link,caption,image
https://techcrunch.com/2018/10/16/macaw-will-curate-twitter-for-you-help-expand-your-network/,"Macaw will curate Twitter for you, help expand your network","Oct 16, 2018",2018-10-16T11:18:57+00:00,Sarah Perez,https://techcrunch.com/author/sarah-perez/,"Twitter today inserts activity-based tweets into your timeline, alerting you to things like the popular tweets liked by people you follow, or those Twitter accounts that a lot of people in your networ",https://techcrunch.com/wp-content/uploads/2018/10/macaw-app-ios.jpg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/16/keeps-parent-company-thirty-madison-raises-15-million-to-fight-male-pattern-baldness/,Keeps parent company Thirty Madison raises $15 million to fight male pattern baldness,"Oct 16, 2018",2018-10-16T10:48:41+00:00,Kate Clark,https://techcrunch.com/author/kate-clark/,Men's hair loss brand Keeps has raised $15 million in a round co-led by Maveron and Northzone.,https://techcrunch.com/wp-content/uploads/2018/10/homepage-1-a7456b431b88eeebc32aa0415ff0014d1a39d0ae9efa3a89915d0fc364005562.jpg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/16/pokemon-go-update-bringing-mon-from-the-sinnoh-region-is-live/,Pokémon GO update bringing ‘mon from the Sinnoh region is live,"Oct 16, 2018",2018-10-16T10:35:09+00:00,Devin Coldewey,https://techcrunch.com/author/devin-coldewey/,"If you've been laying off the Pokémon Go for a while due to a lack of new monsters, prepare to be glued to your phone again. Niantic is now adding pokémon from the rugged Sinnoh region that first ap",https://techcrunch.com/wp-content/uploads/2018/10/sinnoh.jpg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/16/arm-launches-neoverse-its-ip-portfolio-for-internet-infrastructure-hardware/,"Arm launches Neoverse, its IP portfolio for internet infrastructure hardware","Oct 16, 2018",2018-10-16T10:30:01+00:00,Frederic Lardinois,https://techcrunch.com/author/frederic-lardinois/,"Arm-based chips are ubiquitous today, but the company isn’t resting on its laurels. After announcing its ambitions for powering more high-end devices like laptops a few months ago, the company t",https://techcrunch.com/wp-content/uploads/2018/08/GettyImages-924860126.jpg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/16/github-launches-actions-its-workflow-automation-tool/,"GitHub launches Actions, its workflow automation tool","Oct 16, 2018",2018-10-16T10:00:49+00:00,Frederic Lardinois,https://techcrunch.com/author/frederic-lardinois/,"For the longest time, GitHub was all about storing source code and sharing it either with the rest of the world or your colleagues. Today, the company, which is in the process of being acquired by Mic",https://techcrunch.com/wp-content/uploads/2018/10/IMG_20181016_092551.jpg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/16/medical-device-maker-medtronic-finally-fixes-its-hackable-pacemaker/,Medical device maker Medtronic finally fixes its hackable pacemaker,"Oct 16, 2018",2018-10-16T09:08:43+00:00,Zack Whittaker,https://techcrunch.com/author/zack-whittaker/,"Medtronic, a maker of medical devices and implants, has pulled the plug on its internet-based software update system, which security researchers had found had a dangerous security vulnerability The co",https://techcrunch.com/wp-content/uploads/2018/10/GettyImages-636177498.jpg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/16/facebook-rolls-out-checks-for-uk-political-ads/,Facebook rolls out checks for UK political ads,"Oct 16, 2018",2018-10-16T09:05:36+00:00,Natasha Lomas,https://techcrunch.com/author/natasha-lomas/,Facebook has announced it rolled out a system of checks on political ads run on its platform in the UK which requires advertisers to verify their identity and location to try to make it harder for for,https://techcrunch.com/wp-content/uploads/2018/05/facebook-political-ad.png?w=300&h=160&crop=1
https://techcrunch.com/2018/10/17/the-new-normal/,The new normal,"Oct 17, 2018",2018-10-17T08:01:12+00:00,John Biggs,https://techcrunch.com/author/,When we first started writing about startups at TechCrunch the idea of a startup – a small business with global ambitions – was a pipe dream. How could a side hustle like Twitter turn into,https://techcrunch.com/wp-content/uploads/2018/10/daria-nepriakhina-474558-unsplash.jpg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/17/apple-privacy-pages-data-access-requests/,"Apple overhauls its privacy pages, and now lets U.S. customers download their own data","Oct 17, 2018",2018-10-17T08:00:17+00:00,Zack Whittaker,https://techcrunch.com/author/zack-whittaker/,"Apple has refreshed and expanded its privacy website, a month after its most recent iPhone and Mac launches. You’re not going to see much change from previous years — the privacy pages still s",https://techcrunch.com/wp-content/uploads/2018/10/apple-privacy.jpg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/17/hulus-live-tv-service-may-add-skinnier-bundles-of-news-sports-and-entertainment-programming/,"Hulu’s Live TV service may add ‘skinnier’ bundles of news, sports and entertainment programming","Oct 17, 2018",2018-10-17T07:46:04+00:00,Sarah Perez,https://techcrunch.com/author/sarah-perez/,"Hulu is planning to change up its live TV service by dropping channels from its core offering to instead create smaller “bundles” of sports, news, and entertainment programming, according",https://techcrunch.com/wp-content/uploads/2018/05/hulu-upfronts.png?w=300&h=160&crop=1
https://techcrunch.com/2018/10/17/twitter-opens-archive-of-4500-accounts-related-to-russia-and-irans-political-propaganda/,"Twitter opens archive of 4,500 accounts related to Russia and Iran’s political propaganda","Oct 17, 2018",2018-10-17T07:34:02+00:00,Ingrid Lunden,https://techcrunch.com/author/ingrid-lunden/,"After getting hauled into Washington to be grilled over how its social media platform was exploited to influence public opinion around elections and politics in the US and elsewhere, Twitter vowed tha",https://techcrunch.com/wp-content/uploads/2017/05/gettyimages-502130278.jpg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/17/product-hunt-radio-gen-z-what-the-kids-these-days-are-using-and-the-future-of-social-apps/,"Product Hunt Radio: Gen Z, what ‘the kids these days’ are using, and the future of social apps","Oct 17, 2018",2018-10-17T07:00:17+00:00,Ryan Hoover,https://techcrunch.com/author/,"In this episode of Product Hunt Radio, I'm recording from my home in San Francisco to talk to two young entrepreneurs, Tiffany Zhong and Drake Rehfeld.",https://techcrunch.com/wp-content/uploads/2018/10/10-17-18-Zhong-Rehfeld-no-sponsors.png?w=300&h=160&crop=1
https://techcrunch.com/2018/10/17/roku-to-resume-sales-in-mexico-following-court-ruling/,"Roku to resume sales in Mexico, following court ruling","Oct 17, 2018",2018-10-17T06:49:28+00:00,Sarah Perez,https://techcrunch.com/author/sarah-perez/,"Last year, Roku lost a legal battle in Mexico over piracy which resulted in a ban on sales of its devices in the country. Now, that ban has been lifted, the company says, following a favorable ruling",https://techcrunch.com/wp-content/uploads/2017/06/roku-streaming-stick-w_roku-home-screen.jpg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/17/epsagon-emerges-from-stealth-with-serverless-monitoring-tool/,Epsagon emerges from stealth with serverless monitoring tool,"Oct 17, 2018",2018-10-17T06:22:07+00:00,Ron Miller,https://techcrunch.com/author/,"Epsagon, an Israeli startup, launched today with a new serverless tool that helps customers monitor infrastructure, even when they don’t know where or what that is. That’s the nature of se",https://techcrunch.com/wp-content/uploads/2018/10/GettyImages-891281116.jpg?w=300&h=160&crop=1
